
First run with 10x10 grid

 {bl:1675.15,   br:2757.73,   tr:2389.25,   tl:963.74},
{bl:1563.35,   br:2693.28,   tr:2426.07,   tl:1048.71},
{bl:1452.49,   br:2628.48,   tr:2467.84,   tl:1142.57},
{bl:1366.60,   br:2581.28,   tr:2505.55,   tl:1221.62},
{bl:1281.85,   br:2539.97,   tr:2546.23,   tl:1303.08},
{bl:1201.50,   br:2497.88,   tr:2589.97,   tl:1387.36},
{bl:1121.96,   br:2463.58,   tr:2639.01,   tl:1473.59},
{bl:1050.31,   br:2430.39,   tr:2687.51,   tl:1561.24},
{bl:980.65,   br:2402.93,   tr:2740.24,   tl:1650.46},
{bl:918.38,   br:2375.95,   tr:2795.73,   tl:1740.76},
{bl:1750.75,   br:2630.54,   tr:2235.93,   tl:1086.00},
{bl:1644.40,   br:2560.54,   tr:2274.80,   tl:1162.44},
{bl:1539.47,   br:2492.48,   tr:2319.33,   tl:1247.90},
{bl:1458.35,   br:2443.47,   tr:2359.16,   tl:1320.57},
{bl:1379.26,   br:2398.06,   tr:2402.74,   tl:1396.56},
{bl:1304.67,   br:2354.81,   tr:2449.17,   tl:1475.24},
{bl:1233.99,   br:2317.50,   tr:2498.57,   tl:1556.39},
{bl:1166.63,   br:2282.45,   tr:2551.78,   tl:1640.01},
{bl:1104.61,   br:2250.10,   tr:2607.27,   tl:1724.80},
{bl:1049.41,   br:2224.41,   tr:2665.57,   tl:1811.32},
{bl:1840.48,   br:2503.74,   tr:2081.96,   tl:1217.50},
{bl:1737.25,   br:2428.31,   tr:2124.52,   tl:1286.52},
{bl:1638.17,   br:2359.05,   tr:2172.96,   tl:1363.95},
{bl:1562.21,   br:2306.94,   tr:2215.08,   tl:1430.68},
{bl:1488.80,   br:2257.97,   tr:2261.07,   tl:1500.65},
{bl:1418.70,   br:2213.04,   tr:2310.68,   tl:1574.58},
{bl:1353.13,   br:2171.29,   tr:2363.66,   tl:1650.91},
{bl:1291.37,   br:2134.62,   tr:2419.33,   tl:1729.93},
